Carex_petitiana_subsp._attenuata||MLW|spm00002871|Spirostachyae
Carex_petitiana_subsp._attenuata||MLW|spm00002872|Spirostachyae
Carex_petitiana_subsp._attenuata||MLW|spm00004345|Spirostachyae
Carex_petitiana||TAN|spm00000220|Spirostachyae
Carex_petitiana_subsp._petitiana||NGA|spm00002869|Spirostachyae
Carex_petitiana_subsp._petitiana||CMN|spm00002868|Spirostachyae
Carex_petitiana_subsp._petitiana||ETH|spm00002866|Spirostachyae
Carex_petitiana|Carex_MOR_319||spm00004697|Spirostachyae
Carex_fischeri||ETH|spm00004352|Spirostachyae
Carex_fischeri||KEN|spm00004381|Spirostachyae
Carex_sect.Spirostachyae||ETH|spm00000235|Spirostachyae
Carex_petitiana||KEN|spm00000218|Spirostachyae
Carex_longipedunculata||KEN|spm00000167|Spirostachyae
Carex_longipedunculata||KEN|spm00000168|Spirostachyae
Carex_longipedunculata||MLW|spm00000204|Spirostachyae
Carex_elgonensis||ETH|spm00000190|Spirostachyae
Carex_elgonensis||UGA|spm00000188|Spirostachyae
Carex_fischeri_subsp._fischeri||KEN|spm00002852|Spirostachyae
Carex_fischeri_subsp._recedens||ZAI|spm00002855|Spirostachyae
Carex_elgonensis||UGA|spm00000189|Spirostachyae
Carex_simensis||KEN|spm00000229|Spirostachyae
Carex_simensis||KEN|spm00000230|Spirostachyae
Carex_simensis||UGA|spm00000233|Spirostachyae
Carex_simensis|Carex_MOR_910||spm00004703|Spirostachyae
Carex_simensis||UGA|spm00000234|Spirostachyae
Carex_simensis||KEN|spm00002873|Spirostachyae
Carex_simensis||ETH|spm00000231|Spirostachyae
Carex_simensis||ETH|spm00002874|Spirostachyae
Carex_paulo_vargasii||MOR|spm00004349|Spirostachyae
Carex_fissirostris||MOR|spm00004379|Spirostachyae
Carex_perraudieriana||CNY|spm00002865|Spirostachyae
Carex_perraudieriana||CNY|spm00002864|Spirostachyae
Carex_binervis||SPA|spm00002884|Spirostachyae
Carex_binervis||SPA|spm00002883|Spirostachyae
Carex_laevigata||FRA|spm00002940|Spirostachyae
Carex_laevigata||FRA|spm00002939|Spirostachyae
Carex_laevigata||SPA|spm00002935|Spirostachyae
Carex_camposii||SPA|spm00002891|Spirostachyae
Carex_camposii||SPA|spm00002892|Spirostachyae
Carex_binervis||FRA|spm00002886|Spirostachyae
Carex_binervis||FRA|spm00004357|Spirostachyae
Carex_laevigata||POR|spm00002937|Spirostachyae
Carex_laevigata||SPA|spm00002938|Spirostachyae
